"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Courtland Sutton","DEN","LAC","Sun 04:05 EDT","WR","5.4%","5700","WR","5.7%","4900"
"Calvin Ridley","ATL","HOU","Sun 01:00 EDT","WR","5.3%","5400","WR","5.3%","4900"
"Devonta Freeman","ATL","HOU","Sun 01:00 EDT","RB","5.3%","6200","RB","4.9%","5300"
"Geronimo Allison","GB","DAL","Sun 04:25 EDT","WR","5.3%","5600","WR","5.3%","5000"
"Noah Fant","DEN","LAC","Sun 04:05 EDT","TE","5.1%","4900","TE","7.5%","2800"
"Josh Jacobs","OAK","CHI","Sun 01:00 EDT","RB","4.9%","6000","RB","5.2%","4500"
"Keke Coutee","HOU","ATL","Sun 01:00 EDT","WR","4.7%","4500","WR","5.5%","3400"
"Phillip Lindsay","DEN","LAC","Sun 04:05 EDT","RB","4.7%","6700","RB","5.2%","4900"
"Robby Anderson","NYJ","PHI","Sun 01:00 EDT","WR","4.6%","5500","WR","5.1%","4500"
"Miles Sanders","PHI","NYJ","Sun 01:00 EDT","RB","4.2%","6000","RB","4.4%","4500"
"JuJu Smith-Schuster","PIT","BAL","Sun 01:00 EDT","WR","4.1%","7300","WR","4.3%","6400"
"Greg Olsen","CAR","JAC","Sun 01:00 EDT","TE","4.1%","5700","TE","4.9%","4000"
"Ronald Jones","TB","NO","Sun 01:00 EDT","RB","4.0%","5900","RB","3.9%","4600"
"Chase Daniel","CHI","OAK","Sun 01:00 EDT","QB","3.9%","6500","QB","4.2%","4800"
"Mike Williams","LAC","DEN","Sun 04:05 EDT","WR","3.9%","6100","WR","4.7%","4500"
"Jaylen Samuels","PIT","BAL","Sun 01:00 EDT","RB","3.8%","5000","RB","3.9%","4100"
"Delanie Walker","TEN","BUF","Sun 01:00 EDT","TE","3.8%","5300","TE","4.4%","3900"
"John Brown","BUF","TEN","Sun 01:00 EDT","WR","3.7%","5500","WR","3.6%","5100"
"Derrick Henry","TEN","BUF","Sun 01:00 EDT","RB","3.7%","6700","RB","3.2%","6000"
"Jimmy Graham","GB","DAL","Sun 04:25 EDT","TE","3.7%","5500","TE","3.9%","4300"
"Jameis Winston","TB","NO","Sun 01:00 EDT","QB","3.6%","7600","QB","3.5%","6200"
"Wayne Gallman","NYG","MIN","Sun 01:00 EDT","RB","3.5%","6300","RB","3.2%","5400"
"Nelson Agholor","PHI","NYJ","Sun 01:00 EDT","WR","3.4%","5500","WR","3.6%","4700"
"A.J. Brown","TEN","BUF","Sun 01:00 EDT","WR","3.3%","5600","WR","3.9%","4200"
"Sterling Shepard","NYG","MIN","Sun 01:00 EDT","WR","3.2%","6500","WR","3.2%","5800"
"Rex Burkhead","NE","WAS","Sun 01:00 EDT","RB","3.1%","5300","RB","3.1%","4400"
"Chris Thompson","WAS","NE","Sun 01:00 EDT","RB","3.1%","5400","RB","3.2%","4600"
"Golden Tate","NYG","MIN","Sun 01:00 EDT","WR","3.1%","4500","WR","2.8%","4600"
"Mark Ingram","BAL","PIT","Sun 01:00 EDT","RB","3.0%","7500","RB","2.8%","6300"
"Josh Gordon","NE","WAS","Sun 01:00 EDT","WR","3.0%","6200","WR","2.7%","6100"
"Randall Cobb","DAL","GB","Sun 04:25 EDT","WR","2.8%","5100","WR","3.1%","4200"
"Tarik Cohen","CHI","OAK","Sun 01:00 EDT","RB","2.8%","5900","RB","3.0%","4800"
"James Conner","PIT","BAL","Sun 01:00 EDT","RB","2.8%","6900","RB","2.5%","6200"
"Trey Quinn","WAS","NE","Sun 01:00 EDT","WR","2.7%","5100","WR","3.6%","3500"
"Dawson Knox","BUF","TEN","Sun 01:00 EDT","TE","2.7%","4800","TE","3.5%","3100"
"Javon Wims","CHI","OAK","Sun 01:00 EDT","WR","2.6%","4500","WR","3.2%","3500"
"Darren Sproles","PHI","NYJ","Sun 01:00 EDT","RB","2.5%","4600","RB","2.8%","3500"
"Aaron Rodgers","GB","DAL","Sun 04:25 EDT","QB","2.5%","7800","QB","2.5%","6000"
"Giovani Bernard","CIN","ARI","Sun 01:00 EDT","RB","2.4%","5000","RB","2.5%","4000"
"Vance McDonald","PIT","BAL","Sun 01:00 EDT","TE","2.4%","5500","TE","2.9%","3800"
"Dede Westbrook","JAC","CAR","Sun 01:00 EDT","WR","2.4%","5300","WR","2.2%","5300"
"D.J. Moore","CAR","JAC","Sun 01:00 EDT","WR","2.4%","5900","WR","2.4%","5200"
"Royce Freeman","DEN","LAC","Sun 04:05 EDT","RB","2.3%","5400","RB","2.2%","4600"
"Jamison Crowder","NYJ","PHI","Sun 01:00 EDT","WR","2.2%","5800","WR","2.7%","4300"
"Terry McLaurin","WAS","NE","Sun 01:00 EDT","WR","2.2%","6000","WR","2.4%","5100"
"Philip Rivers","LAC","DEN","Sun 04:05 EDT","QB","2.2%","7700","QB","2.3%","5800"
"Cole Beasley","BUF","TEN","Sun 01:00 EDT","WR","2.1%","5500","WR","2.4%","4600"
"Jake Kumerow","GB","DAL","Sun 04:25 EDT","WR","2.1%","4500","WR","2.1%","3800"
"Michael Gallup","DAL","GB","Sun 04:25 EDT","WR","2.0%","6400","WR","2.2%","5000"
"Corey Davis","TEN","BUF","Sun 01:00 EDT","WR","1.9%","5300","WR","2.1%","4400"
"Mohamed Sanu","ATL","HOU","Sun 01:00 EDT","WR","1.9%","5900","WR","2.5%","4200"
"Jared Cook","NO","TB","Sun 01:00 EDT","TE","1.9%","5300","TE","2.6%","3400"
"Kyle Rudolph","MIN","NYG","Sun 01:00 EDT","TE","1.9%","4500","TE","2.3%","3000"
