Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Andre Patton,LAC,DEN,Sun 04:25 EST,WR,0.00%,4500,WR,0.00%,3000
Greg Ward,PHI,MIA,Sun 01:00 EST,WR,0.00%,5300,WR,0.00%,4100
Trey Edmunds,PIT,CLE,Sun 01:00 EST,RB,0.00%,4800,RB,0.00%,3300
Dante Pettis,SF,BAL,Sun 01:00 EST,WR,0.00%,4700,WR,0.00%,3000
Durham Smythe,MIA,PHI,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Damion Ratley,CLE,PIT,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Jordan Wilkins,IND,TEN,Sun 01:00 EST,RB,0.00%,4700,RB,0.00%,3300
Justin Watson,TB,JAC,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Braxton Berrios,NYJ,CIN,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3200
Boston Scott,PHI,MIA,Sun 01:00 EST,RB,0.00%,5200,RB,0.00%,3000
Justin Jackson,LAC,DEN,Sun 04:25 EST,RB,0.00%,5000,RB,0.00%,3100
Reggie Bonnafon,CAR,WAS,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,4100
Vyncint Smith,NYJ,CIN,Sun 01:00 EST,WR,0.00%,4600,WR,0.00%,3000
Byron Pringle,KC,OAK,Sun 04:25 EST,WR,0.00%,4600,WR,0.00%,3300
Dontrell Hilliard,CLE,PIT,Sun 01:00 EST,RB,0.00%,4600,RB,0.00%,3000
KhaDarel Hodge,CLE,PIT,Sun 01:00 EST,WR,0.00%,4800,WR,0.00%,3000
Diontae Spencer,DEN,LAC,Sun 04:25 EST,WR,0.00%,4600,WR,0.00%,3000
Justice Hill,BAL,SF,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3000
Ryquell Armstead,JAC,TB,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,4400
Foster Moreau,OAK,KC,Sun 04:25 EST,TE,0.00%,4700,TE,0.00%,2500
Trayveon Williams,CIN,NYJ,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3200
Myles Gaskin,MIA,PHI,Sun 01:00 EST,RB,0.00%,4600,RB,0.00%,3000
Stanley Morgan,CIN,NYJ,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Michael Walker,JAC,TB,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Hale Hentges,WAS,CAR,Sun 01:00 EST,TE,0.00%,4000,TE,0.00%,2500
Ashton Dulin,IND,TEN,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3000
Khari Blasingame,TEN,IND,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3000
Devine Ozigbo,JAC,TB,Sun 01:00 EST,RB,0.00%,4500,RB,0.00%,3000
Jason Moore,LAC,DEN,Sun 04:25 EST,WR,0.00%,4500,WR,0.00%,3000
Keelan Doss,OAK,KC,Sun 04:25 EST,WR,0.00%,4600,WR,0.00%,3000
Damion Willis,CIN,NYJ,Sun 01:00 EST,WR,0.00%,4500,WR,0.00%,3100
