"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Derek Carrier","OAK","JAC","Sun 04:05 EST","TE","0.0%","4000","TE","0.0%","2500"
"Spencer Ware","KC","DEN","Sun 01:00 EST","RB","0.0%","-","RB","1.7%","3100"
"Jay Ajayi","PHI","WAS","Sun 01:00 EST","RB","0.0%","4800","RB","0.0%","3000"
"DeAndre Carter","HOU","TEN","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Javorius Allen","NYG","MIA","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Ben Koyack","JAC","OAK","Sun 04:05 EST","TE","0.0%","4000","TE","0.0%","2500"
"MyCole Pruitt","TEN","HOU","Sun 01:00 EST","TE","0.0%","4600","TE","0.0%","2500"
"Blake Bell","KC","DEN","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"DeAndrew White","CAR","SEA","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Malcolm Brown","LA","DAL","Sun 04:25 EST","RB","0.0%","4900","RB","0.0%","4200"
"Laquon Treadwell","MIN","LAC","Sun 04:05 EST","WR","0.0%","5000","WR","0.0%","3200"
"Devontae Booker","DEN","KC","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Tajae Sharpe","TEN","HOU","Sun 01:00 EST","WR","0.0%","4700","WR","0.0%","3200"
"Wendell Smallwood","WAS","PHI","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Cody Core","NYG","MIA","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Kalif Raymond","TEN","HOU","Sun 01:00 EST","WR","0.0%","4700","WR","0.0%","3300"
"Elijhaa Penny","NYG","MIA","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Joshua Perkins","PHI","WAS","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"J.P. Holtz","CHI","GB","Sun 01:00 EST","TE","0.0%","4800","TE","0.0%","2500"
"Ricky Seals-Jones","CLE","ARI","Sun 04:05 EST","TE","0.0%","5300","TE","0.0%","3200"
"Alex Armah","CAR","SEA","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Cethan Carter","CIN","NE","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Josh Reynolds","LA","DAL","Sun 04:25 EST","WR","0.0%","5400","WR","0.0%","3000"
"Mack Hollins","MIA","NYG","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Fred Brown","DEN","KC","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Andre Patton","LAC","MIN","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Brandon Zylstra","CAR","SEA","Sun 01:00 EST","WR","0.0%","4500","WR","0.0%","3000"
"Dante Pettis","SF","ATL","Sun 04:25 EST","WR","0.0%","4600","WR","0.0%","3000"
"Durham Smythe","MIA","NYG","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Damion Ratley","CLE","ARI","Sun 04:05 EST","WR","0.0%","4500","WR","0.0%","3000"
"Justin Jackson","LAC","MIN","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","3000"
"Mike Boone","MIN","LAC","Sun 04:05 EST","RB","0.0%","4500","RB","0.0%","3000"
"Reggie Bonnafon","CAR","SEA","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3900"
"Ryan Nall","CHI","GB","Sun 01:00 EST","RB","0.0%","4500","RB","0.0%","3000"
"Byron Pringle","KC","DEN","Sun 01:00 EST","WR","0.0%","4800","WR","0.0%","3000"
"Tanner Hudson","TB","DET","Sun 01:00 EST","TE","0.0%","4000","TE","0.0%","2500"
"Ross Dwelley","SF","ATL","Sun 04:25 EST","TE","0.0%","4800","TE","0.0%","2500"
