Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,
985021470,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,TE,Greg Olsen (10043307),Greg Olsen,10043307,5000,CAR@NO 01/07/2018 04:40PM ET,CAR
985021471,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Rishard Matthews (10043070),Rishard Matthews,10043070,4900,TEN@KC 01/06/2018 04:35PM ET,TEN
985021472,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,TE,Delanie Walker (10043082),Delanie Walker,10043082,4700,TEN@KC 01/06/2018 04:35PM ET,TEN
985021473,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,QB,Tyrod Taylor (10043185),Tyrod Taylor,10043185,4700,BUF@JAX 01/07/2018 01:05PM ET,BUF
985021474,NFL $1M Play-Action,52069455,$3 ,Drew Brees (10043250),Devonta Freeman (10043125),Derrick Henry (10043062),Ted Ginn Jr. (10043265),Michael Thomas (10043263),Albert Wilson (10043106),Travis Kelce (10043114),Mohamed Sanu (10043135),Titans (10043092),,WR,Allen Hurns (10043237),Allen Hurns,10043237,4600,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,QB,Chase Daniel (10043251),Chase Daniel,10043251,4600,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,QB,Matt Cassel (10043060),Matt Cassel,10043060,4500,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,RB,DeMarco Murray (10043064),DeMarco Murray,10043064,4500,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,QB,Sean Mannion (10043155),Sean Mannion,10043155,4500,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,QB,Joe Webb (10043186),Joe Webb,10043186,4500,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,QB,Nathan Peterman (10043187),Nathan Peterman,10043187,4500,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,WR,Dede Westbrook (10043231),Dede Westbrook,10043231,4400,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,DST,Jaguars  (10043249),Jaguars ,10043249,4400,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,QB,Matt Schaub (10043124),Matt Schaub,10043124,4300,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,QB,Chad Henne (10043220),Chad Henne,10043220,4300,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,RB,Charcandrick West (10043098),Charcandrick West,10043098,4200,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,RB,Tevin Coleman (10043127),Tevin Coleman,10043127,4100,ATL@LAR 01/06/2018 08:15PM ET,ATL
,,,,,,,,,,,,,,QB,Brandon Weeden (10043061),Brandon Weeden,10043061,4000,TEN@KC 01/06/2018 04:35PM ET,TEN
,,,,,,,,,,,,,,QB,Tyler Bray (10043095),Tyler Bray,10043095,4000,TEN@KC 01/06/2018 04:35PM ET,KC
,,,,,,,,,,,,,,TE,Charles Clay (10043210),Charles Clay,10043210,4000,BUF@JAX 01/07/2018 01:05PM ET,BUF
,,,,,,,,,,,,,,RB,Chris Ivory (10043223),Chris Ivory,10043223,4000,BUF@JAX 01/07/2018 01:05PM ET,JAX
,,,,,,,,,,,,,,QB,Taysom Hill (10043252),Taysom Hill,10043252,4000,CAR@NO 01/07/2018 04:40PM ET,NO
,,,,,,,,,,,,,,QB,Garrett Gilbert (10043284),Garrett Gilbert,10043284,4000,CAR@NO 01/07/2018 04:40PM ET,CAR
,,,,,,,,,,,,,,RB,Malcolm Brown (10043158),Malcolm Brown,10043158,3900,ATL@LAR 01/06/2018 08:15PM ET,LAR
,,,,,,,,,,,,,,RB,T.J. Yeldon (10043225),T.J. Yeldon,10043225,3800,BUF@JAX 01/07/2018 01:05PM ET,JAX
