Player,Team,Opp,Time,"FD Pos","FD Draft %","FD Sal","DK Pos","DK Draft %","DK Sal"
"Marvin Hall",DET,GB,"Sun 01:00 EDT",WR,0.0%,4800,WR,0.0%,3700
"C.J. Board",NYG,CHI,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Alex Armah",CAR,TB,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Adam Shaheen",MIA,BUF,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2600
"Josh Malone",NYJ,SF,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Noah Brown",DAL,ATL,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Jake Butt",DEN,PIT,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2500
"Isaiah McKenzie",BUF,MIA,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Darrell Daniels",ARI,WAS,"Sun 04:05 EDT",TE,0.0%,4000,TE,0.0%,2800
"Marcus Kemp",KC,LAC,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3000
"Wayne Gallman",NYG,CHI,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Mack Hollins",MIA,BUF,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Corey Clement",PHI,LA,"Sun 01:00 EDT",RB,0.0%,4700,RB,0.0%,4600
"Jeremy Sprinkle",WAS,ARI,"Sun 04:05 EDT",TE,0.0%,4000,TE,0.0%,3200
"Brandon Zylstra",CAR,TB,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Dante Pettis",SF,NYJ,"Sun 01:00 EDT",WR,0.0%,4600,WR,0.0%,3000
"DaeSean Hamilton",DEN,PIT,"Sun 01:00 EDT",WR,0.0%,4700,WR,0.0%,3500
"Durham Smythe",MIA,BUF,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2500
"Damion Ratley",NYG,CHI,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Jordan Wilkins",IND,MIN,"Sun 01:00 EDT",RB,0.0%,4600,RB,0.0%,4000
"Javon Wims",CHI,NYG,"Sun 01:00 EDT",WR,0.0%,4700,WR,0.0%,3100
"Cedrick Wilson",DAL,ATL,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Trenton Cannon",CAR,TB,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Tyler Conklin",MIN,IND,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2500
"Josh Adams",NYJ,SF,"Sun 01:00 EDT",RB,0.0%,4900,RB,0.0%,4400
"Trent Sherfield",ARI,WAS,"Sun 04:05 EDT",WR,0.0%,4500,WR,0.0%,3000
"Christian Blake",ATL,DAL,"Sun 01:00 EDT",WR,0.0%,4500,WR,0.0%,3000
"Gus Edwards",BAL,HOU,"Sun 04:25 EDT",RB,0.0%,4600,RB,0.0%,4000
"Mike Boone",MIN,IND,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Ryan Nall",CHI,NYG,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Byron Pringle",KC,LAC,"Sun 04:25 EDT",WR,0.0%,4500,WR,0.0%,3000
"Cam Sims",WAS,ARI,"Sun 04:05 EDT",WR,0.0%,4500,WR,0.0%,3000
"Nick Keizer",KC,LAC,"Sun 04:25 EDT",TE,0.0%,4000,TE,0.0%,2500
"Jaeden Graham",ATL,DAL,"Sun 01:00 EDT",TE,0.0%,4000,TE,0.0%,2500
"J.J. Arcega-Whiteside",PHI,LA,"Sun 01:00 EDT",WR,0.0%,5000,WR,0.0%,3500
"Jace Sternberger",GB,DET,"Sun 01:00 EDT",TE,0.0%,4100,TE,0.0%,3200
"Qadree Ollison",ATL,DAL,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Ty Johnson",DET,GB,"Sun 01:00 EDT",RB,0.0%,4500,RB,0.0%,4000
"Darwin Thompson",KC,LAC,"Sun 04:25 EDT",RB,0.0%,4500,RB,0.0%,4000
