"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"DEF","Washington Football Team","WAS","@CLE","3000","0.5%","14%","1%","1%","2.47"
"RB","Melvin Gordon","DEN","TB","5800","3.0%","35%","6%","7%","2.45"
"RB","Malcolm Brown","LAR","@BUF","5200","0.5%","17%","1%","1%","2.43"
"TE","Kyle Rudolph","MIN","TEN","3100","0.5%","19%","1%","1%","2.34"
"WR","David Moore","SEA","DAL","3600","0.5%","20%","1%","1%","2.33"
"DEF","Chicago Bears","CHI","@ATL","2900","0.5%","14%","1%","1%","2.21"
"WR","Tim Patrick","DEN","TB","3700","0.5%","19%","1%","1%","2.20"
"RB","Adrian Peterson","DET","@ARI","4500","0.5%","18%","1%","1%","2.19"
"TE","Anthony Firkser","TEN","@MIN","2500","0.5%","19%","1%","1%","2.17"
"WR","Marvin Jones","DET","@ARI","5800","3.0%","35%","7%","6%","2.15"
"WR","Tyler Boyd","CIN","@PHI","5900","3.0%","37%","7%","6%","2.13"
"RB","Todd Gurley","ATL","CHI","5800","3.0%","33%","5%","6%","2.12"
"RB","Dalvin Cook","MIN","TEN","7600","7.5%","44%","12%","16%","2.09"
"RB","David Montgomery","CHI","@ATL","5700","3.0%","33%","5%","6%","2.09"
"WR","Jarvis Landry","CLE","WAS","5500","3.0%","36%","6%","6%","2.05"
"DEF","Carolina Panthers","CAR","@LAC","2200","0.5%","18%","1%","1%","2.05"
"WR","Robby Anderson","CAR","@LAC","5200","3.0%","38%","6%","6%","2.03"
"RB","Joshua Kelley","LAC","CAR","5000","3.0%","33%","5%","6%","1.95"
"DEF","New York Jets","NYJ","@IND","2000","0.5%","20%","1%","1%","1.91"
"WR","Jerry Jeudy","DEN","TB","5000","3.0%","36%","6%","6%","1.90"
"TE","Hayden Hurst","ATL","CHI","4700","3.0%","35%","3%","6%","1.90"
"WR","Michael Pittman Jr.","IND","NYJ","4000","3.0%","37%","6%","6%","1.90"
"TE","Logan Thomas","WAS","@CLE","3700","3.0%","36%","3%","6%","1.89"
"WR","Mike Williams","LAC","CAR","4300","3.0%","36%","6%","6%","1.86"
"WR","A.J. Green","CIN","@PHI","6000","3.0%","34%","6%","5%","1.82"
