Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value,Upside
Julian Edelman,WR,NE,@MIA,7100,4.9,-9.12,25.1,11.14,105.0990007
Stefon Diggs,WR,MIN,@SEA,7300,5.9,-8.43,26.2,11.85,104.6457877
Marlon Mack,RB,IND,@HOU,4600,4.2,-3.97,21.6,13.47,104.623675
Ty Montgomery,RB,BAL,@KC,4000,0.8,-6.32,17.4,10.31,104.5734471
Vernon Davis,TE,WAS,NYG,2900,0,-5.28,14.9,9.65,104.4849171
Davante Adams,WR,GB,ATL,8400,9.4,-7.11,30.6,14,104.2900236
Aaron Jones,RB,GB,ATL,7200,8.8,-3.95,28.9,16.11,104.0922889
J.J. Nelson,WR,ARI,DET,3000,0,-5.91,15,9.08,104.0041912
Virgil Green,TE,LAC,CIN,2500,0,-4.55,14.1,9.56,103.8896883
Lance Kendricks,TE,GB,ATL,2500,0,-4.53,14.1,9.59,103.8896883
Ben Watson,TE,NO,@TB,2900,0,-5.28,14.8,9.57,103.783676
Maurice Harris,WR,WAS,NYG,3400,0,-6.7,15.6,8.86,103.7444707
Rex Burkhead,RB,NE,@MIA,3400,0,-6.02,15.6,9.55,103.7444707
Dalvin Cook,RB,MIN,@SEA,5800,6.7,-3.56,25.3,15.07,103.5230232
Jesse James,TE,PIT,@OAK,3300,0.3,-5.66,15.7,9.68,103.4386255
Ed Dickson,TE,SEA,MIN,2500,0,-4.55,14,9.48,103.152882
Adam Thielen,WR,MIN,@SEA,8100,8.2,-7.73,28.9,12.93,103.0723092
Michael Thomas,WR,NO,@TB,8600,10.6,-6.32,31.7,14.79,102.9871338
David Johnson,RB,ARI,DET,6500,8.3,-3.23,27.5,15.98,102.8797996
Chris Ivory,RB,BUF,NYJ,3300,0,-5.84,15.3,9.42,102.7669461
Kyle Rudolph,TE,MIN,@SEA,3500,1.6,-4.76,17.2,10.87,102.7468659
Jarius Wright,WR,CAR,@CLE,3000,0,-5.91,14.8,8.86,102.6174686
Breshad Perriman,WR,CLE,CAR,3000,0,-5.91,14.8,8.86,102.6174686
DeAndre Washington,RB,OAK,PIT,3000,0,-5.31,14.8,9.49,102.6174686
Michael Roberts,TE,DET,@ARI,2500,0,-4.55,13.9,9.35,102.4160757
C.J. Uzomah,TE,CIN,@LAC,3500,2.3,-4.06,17.8,11.4,102.0882322
Zach Zenner,RB,DET,@ARI,3000,0,-5.31,14.7,9.44,101.9241073
Vance McDonald,TE,PIT,@OAK,3800,1.8,-5.16,17.7,10.8,101.8910237
Dallas Goedert,TE,PHI,@DAL,2500,0,-4.55,13.8,9.25,101.6792694
David Njoku,TE,CLE,CAR,3900,2.7,-4.42,18.7,11.57,101.6479085
Evan Engram,TE,NYG,@WAS,3700,1.2,-5.56,16.9,10.17,101.5077211
Antonio Brown,WR,PIT,@OAK,9000,8.7,-9.01,29.8,12.1,101.4382198
Darren Sproles,RB,PHI,@DAL,3300,0,-5.84,15.1,9.27,101.4235873
Joe Mixon,RB,CIN,@LAC,6400,7.1,-4.24,25.9,14.53,101.2584304
Mike Davis,RB,SEA,MIN,3800,0,-6.73,15.8,9.05,101.2501996
Bennie Fowler,WR,NYG,@WAS,3000,0,-5.91,14.6,8.64,101.2307461
Mike Evans,WR,TB,NO,7500,6.9,-7.92,26.7,11.96,101.1528451
Devontae Booker,RB,DEN,@SF,3400,0.6,-5.42,15.8,9.8,101.0843561
Josh Adams,RB,PHI,@DAL,5300,3.1,-6.29,20.7,11.28,100.9455963
Demetrius Harris,TE,KC,BAL,2500,0,-4.55,13.7,9.17,100.9424631
Chris Thompson,RB,WAS,NYG,5400,1.9,-7.65,19.6,9.99,100.8885809
Odell Beckham,WR,NYG,@WAS,8300,7.9,-8.48,28.3,11.93,100.7559735
Tarik Cohen,RB,CHI,LAR,6400,6.6,-4.71,25.3,13.94,100.7198218
Jaron Brown,WR,SEA,MIN,3000,0,-5.91,14.5,8.56,100.5373848
Leonard Fournette,RB,JAX,@TEN,6800,7.9,-4.1,26.9,14.85,100.2883832
Durham Smythe,TE,MIA,NE,2500,0,-4.55,13.6,9.05,100.2056568
