"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS (?)","% GAMES (?)","OPPORTUNITY (?)","EFFICIENCY (?)"
"23","Amari Cooper",DAL,"at PHI"," 7.6","B+","14.4","-1.8","37% (6/16)","13%","Average"
"24","Diontae Johnson",PIT,"at BAL"," 3.2","B+","13.8","+0.8","40% (6/15)","10%","Great"
"25","Jarvis Landry",CLE,"vs. LV"," 7.8","B","13.7","+0.2","35% (6/17)","4%","Good"
"26","JuJu Smith-Schuster",PIT,"at BAL"," 3.4","B-","13.4","-3.4","33% (4/12)","9%","Great"
"27","Marquise Brown",BAL,"vs. PIT"," 6.4","B","12.8","-2.5","35% (5/14)","18%","Poor"
"28","Chase Claypool",PIT,"at BAL"," 4.4","B-","12.6","+6.2","66% (4/6)","14%","Great"
"29","DeVante Parker",MIA,"vs. LAR"," 7.0","C+","12.3","+1.5","50% (8/16)","5%","Great"
"30","A.J. Green",CIN,"vs. TEN"," 6.2","B-","11.8","-3.3","28% (2/7)","12%","Awful"
"31","Cole Beasley",BUF,"vs. NE"," 7.2","C+","11.8","+3.0","81% (13/16)","8%","Good"
"32","Darius Slayton",NYG,"vs. TB"," 3.8","C+","11.5","+1.9","43% (7/16)","21%","Good"
"33","CeeDee Lamb",DAL,"at PHI"," 7.6","C+","11.4","+1.6","71% (5/7)","11%","Good"
"34","Corey Davis",TEN,"at CIN"," 7.0","C+","10.8","-1.6","30% (4/13)","8%","Good"
"35","Mike Williams",LAC,"at DEN"," 6.0","C","10.8","-0.4","42% (6/14)","11%","Good"
"36","Sterling Shepard",NYG,"vs. TB"," 3.4","C","10.8","-1.5","30% (3/10)","14%","Poor"
"37","Jerry Jeudy",DEN,"vs. LAC"," 6.6","C","10.7","-1.4","33% (2/6)","6%","Good"
"38","Rashard Higgins",CLE,"vs. LV"," 8.4","C","10.6","+0.1","25% (4/16)","4%","Great"
"39","Henry Ruggs III",LV,"at CLE"," 7.4","C","10.3","+0.4","50% (2/4)","7%","Good"
"40","T.Y. Hilton",IND,"at DET"," 4.6","C","10.3","-5.5","27% (3/11)","8%","Awful"
"41","Scotty Miller",TB,"at NYG"," 6.8","C","10.2","+0.9","50% (6/12)","7%","Good"
"42","Tre'Quan Smith",NO,"at CHI"," 6.0","C","10.2","+0.9","42% (6/14)","7%","Good"
"43","Nelson Agholor",LV,"at CLE"," 7.0","C","10.1","+2.8","50% (5/10)","7%","Great"
"44","Marvin Jones Jr.",DET,"vs. IND"," 5.0","C","10.1","-1.2","41% (5/12)","11%","Poor"
"45","Denzel Mims",NYJ,"at KC"," 5.6","C","10.0","-0.2","50% (1/2)","22%","Awful"
"46","Curtis Samuel",CAR,"vs. ATL"," 7.2","C-","9.9","-1.1","43% (7/16)","7%","Great"
"47","Preston Williams",MIA,"vs. LAR"," 6.8","C-","9.9","-0.3","28% (2/7)","10%","Great"
"48","Marquez Valdes-Scantling",GB,"vs. MIN"," 7.4","C-","9.8","-3.0","20% (3/15)","7%","Average"
"49","Michael Gallup",DAL,"at PHI"," 6.4","C-","9.6","-0.8","43% (7/16)","11%","Poor"
"50","Kendrick Bourne",SF,"at SEA"," 6.6","C-","9.5","+1.3","52% (9/17)","6%","Good"
"51","Mecole Hardman",KC,"vs. NYJ"," 6.8","C-","9.2","+0.8","50% (8/16)","3%","Great"
"52","Greg Ward",PHI,"vs. DAL"," 6.4","D+","9.1","+2.0","61% (8/13)","5%","Great"
"53","Darnell Mooney",CHI,"vs. NO"," 9.0","D","9.0","+1.1","42% (3/7)","7%","Good"
"54","Adam Humphries",TEN,"at CIN"," 7.4","D","8.9","+1.3","60% (6/10)","11%","Good"
"55","Demarcus Robinson",KC,"vs. NYJ"," 6.8","D","8.9","-1.5","25% (4/16)","4%","Awful"
"56","Golden Tate",NYG,"vs. TB"," 4.0","D","8.6","-0.5","42% (6/14)","6%","Good"
"57","Hunter Renfrow",LV,"at CLE"," 6.8","D-","8.5","+3.4","53% (7/13)","6%","Good"
