"Player","Team","Opp","Time","FD Pos","FD Own","FD Sal","DK Pos","DK Own","DK Sal"
"Drew Brees","NO","SF","Sun 01:00 EST","QB","2.0%","7700","QB","2.1%","5900"
"Austin Ekeler","LAC","JAC","Sun 04:05 EST","RB","2.0%","7000","RB","2.1%","6300"
"Joe Mixon","CIN","CLE","Sun 01:00 EST","RB","1.9%","6700","RB","1.9%","5800"
"Noah Fant","DEN","HOU","Sun 01:00 EST","TE","1.9%","4800","TE","2.5%","3400"
"Benny Snell","PIT","ARI","Sun 04:25 EST","RB","1.9%","6100","RB","1.5%","6100"
"Adam Humphries","TEN","OAK","Sun 04:25 EST","WR","1.9%","5400","WR","2.6%","3800"
"Kyler Murray","ARI","PIT","Sun 04:25 EST","QB","1.8%","7500","QB","1.9%","5800"
"Russell Gage","ATL","CAR","Sun 01:00 EST","WR","1.7%","5700","WR","1.9%","4800"
"John Brown","BUF","BAL","Sun 01:00 EST","WR","1.6%","6400","WR","1.6%","6100"
"Brian Hill","ATL","CAR","Sun 01:00 EST","RB","1.6%","5300","RB","1.8%","4000"
"Breshad Perriman","TB","IND","Sun 01:00 EST","WR","1.6%","5500","WR","2.2%","3700"
"Marlon Mack","IND","TB","Sun 01:00 EST","RB","1.5%","7300","RB","1.6%","6000"
"Auden Tate","CIN","CLE","Sun 01:00 EST","WR","1.5%","5500","WR","1.9%","4000"
"Phillip Dorsett","NE","KC","Sun 04:25 EST","WR","1.5%","5400","WR","1.7%","4400"
"Bo Scarbrough","DET","MIN","Sun 01:00 EST","RB","1.5%","5900","RB","1.6%","4500"
"Chris Conley","JAC","LAC","Sun 04:05 EST","WR","1.4%","5400","WR","1.8%","4000"
"Rex Burkhead","NE","KC","Sun 04:25 EST","RB","1.2%","5600","RB","1.7%","3400"
"Latavius Murray","NO","SF","Sun 01:00 EST","RB","1.2%","5300","RB","1.2%","4500"
"Bilal Powell","NYJ","MIA","Sun 01:00 EST","RB","1.1%","4900","RB","1.4%","3500"
"Larry Fitzgerald","ARI","PIT","Sun 04:25 EST","WR","1.1%","5700","WR","1.3%","4700"
"John Ross","CIN","CLE","Sun 01:00 EST","WR","1.1%","5500","WR","1.3%","4400"
"Jonnu Smith","TEN","OAK","Sun 04:25 EST","TE","1.1%","4900","TE","1.6%","3100"
"Royce Freeman","DEN","HOU","Sun 01:00 EST","RB","1.1%","5300","RB","1.3%","4000"
"Darwin Thompson","KC","NE","Sun 04:25 EST","RB","1.1%","5200","RB","1.1%","4000"
"Allen Hurns","MIA","NYJ","Sun 01:00 EST","WR","1.0%","5100","WR","1.2%","4100"
"Dion Lewis","TEN","OAK","Sun 04:25 EST","RB","1.0%","4700","RB","1.3%","3500"
"David Njoku","CLE","CIN","Sun 01:00 EST","TE","1.0%","4900","TE","1.3%","3500"
"Ted Ginn","NO","SF","Sun 01:00 EST","WR","0.9%","4900","WR","1.1%","3600"
"Raheem Mostert","SF","NO","Sun 01:00 EST","RB","0.9%","6200","RB","1.0%","4600"
"Darren Fells","HOU","DEN","Sun 01:00 EST","TE","0.9%","4700","TE","1.2%","3200"
"Devin Singletary","BUF","BAL","Sun 01:00 EST","RB","0.8%","6700","RB","0.9%","5700"
"Albert Wilson","MIA","NYJ","Sun 01:00 EST","WR","0.8%","5000","WR","1.0%","4000"
"Danny Amendola","DET","MIN","Sun 01:00 EST","WR","0.8%","5400","WR","1.1%","4000"
"Nyheim Hines","IND","TB","Sun 01:00 EST","RB","0.8%","5600","RB","1.0%","4300"
"Tyler Eifert","CIN","CLE","Sun 01:00 EST","TE","0.8%","4500","TE","1.1%","2800"
"Myles Gaskin","MIA","NYJ","Sun 01:00 EST","RB","0.7%","4800","RB","0.9%","3300"
"Adrian Peterson","WAS","GB","Sun 01:00 EST","RB","0.7%","5700","RB","0.9%","4000"
"Jesse James","DET","MIN","Sun 01:00 EST","TE","0.7%","4000","TE","1.1%","2500"
"N'Keal Harry","NE","KC","Sun 04:25 EST","WR","0.7%","5500","WR","0.9%","4000"
"Irv Smith","MIN","DET","Sun 01:00 EST","TE","0.7%","5300","TE","1.1%","3300"
"Jimmy Graham","GB","WAS","Sun 01:00 EST","TE","0.7%","5500","TE","1.0%","3600"
"Parris Campbell","IND","TB","Sun 01:00 EST","WR","0.7%","4800","WR","0.9%","3200"
"Geronimo Allison","GB","WAS","Sun 01:00 EST","WR","0.7%","4600","WR","0.8%","3400"
"Nick Boyle","BAL","BUF","Sun 01:00 EST","TE","0.6%","4800","TE","1.1%","2700"
"J.D. McKissic","DET","MIN","Sun 01:00 EST","RB","0.6%","4900","RB","0.8%","3600"
"Jalen Richard","OAK","TEN","Sun 04:25 EST","RB","0.6%","5000","RB","0.8%","3900"
"Dare Ogunbowale","TB","IND","Sun 01:00 EST","RB","0.6%","4700","RB","0.9%","3100"
"Jaylen Samuels","PIT","ARI","Sun 04:25 EST","RB","0.6%","5500","RB","0.6%","5000"
"Anthony Firkser","TEN","OAK","Sun 04:25 EST","TE","0.6%","5000","TE","1.1%","2700"
"Matt Breida","SF","NO","Sun 01:00 EST","RB","0.6%","5600","RB","0.6%","4600"
"Willie Snead","BAL","BUF","Sun 01:00 EST","WR","0.5%","4600","WR","0.7%","3400"
"Jeremy Sprinkle","WAS","GB","Sun 01:00 EST","TE","0.5%","4900","TE","0.9%","2800"
"Gus Edwards","BAL","BUF","Sun 01:00 EST","RB","0.5%","5000","RB","0.5%","4300"
"Frank Gore","BUF","BAL","Sun 01:00 EST","RB","0.5%","5300","RB","0.6%","3800"
"Zay Jones","OAK","TEN","Sun 04:25 EST","WR","0.5%","4700","WR","0.7%","3400"
"Chris Thompson","WAS","GB","Sun 01:00 EST","RB","0.5%","5200","RB","0.8%","3300"
"Cameron Brate","TB","IND","Sun 01:00 EST","TE","0.5%","4600","TE","0.7%","2900"
"DeAndre Washington","OAK","TEN","Sun 04:25 EST","RB","0.5%","5000","RB","0.7%","3000"
"Kyle Allen","CAR","ATL","Sun 01:00 EST","QB","0.4%","7100","QB","0.4%","5700"
"David Johnson","ARI","PIT","Sun 04:25 EST","RB","0.4%","5400","RB","0.5%","4200"
"Demarcus Robinson","KC","NE","Sun 04:25 EST","WR","0.4%","4500","WR","0.6%","3300"
"Ty Johnson","DET","MIN","Sun 01:00 EST","RB","0.4%","4900","RB","0.6%","3200"
"Giovani Bernard","CIN","CLE","Sun 01:00 EST","RB","0.4%","4700","RB","0.5%","4000"
"Tim Patrick","DEN","HOU","Sun 01:00 EST","WR","0.4%","5100","WR","0.6%","3300"
"Marquez Valdes-Scantling","GB","WAS","Sun 01:00 EST","WR","0.4%","4800","WR","0.4%","3900"
"Mo Alie-Cox","IND","TB","Sun 01:00 EST","TE","0.4%","4000","TE","0.5%","2500"
"Jeff Heuerman","DEN","HOU","Sun 01:00 EST","TE","0.4%","4200","TE","0.5%","2600"
"Tevin Coleman","SF","NO","Sun 01:00 EST","RB","0.4%","5500","RB","0.4%","5100"
"Matt LaCosse","NE","KC","Sun 04:25 EST","TE","0.4%","4200","TE","0.5%","2500"
"Nick O'Leary","JAC","LAC","Sun 04:05 EST","TE","0.3%","4500","TE","0.5%","2700"
"Logan Thomas","DET","MIN","Sun 01:00 EST","TE","0.3%","4700","TE","0.5%","2600"
"Seth Roberts","BAL","BUF","Sun 01:00 EST","WR","0.3%","4700","WR","0.4%","3200"
"Laquon Treadwell","MIN","DET","Sun 01:00 EST","WR","0.3%","4700","WR","0.5%","3000"
"Gardner Minshew","JAC","LAC","Sun 04:05 EST","QB","0.3%","6600","QB","0.3%","5400"
"Tevin Jones","PIT","ARI","Sun 04:25 EST","WR","0.3%","5100","WR","0.5%","3000"
"Chris Manhertz","CAR","ATL","Sun 01:00 EST","TE","0.3%","4000","TE","0.4%","2500"
"Isaiah McKenzie","BUF","BAL","Sun 01:00 EST","WR","0.3%","4900","WR","0.4%","3300"
"Isaiah Ford","MIA","NYJ","Sun 01:00 EST","WR","0.3%","4500","WR","0.4%","3000"
"Jordan Wilkins","IND","TB","Sun 01:00 EST","RB","0.3%","5500","RB","0.3%","3700"
"Ashton Dulin","IND","TB","Sun 01:00 EST","WR","0.2%","4500","WR","0.4%","3000"
"Devlin Hodges","PIT","ARI","Sun 04:25 EST","QB","0.2%","7000","QB","0.2%","5900"
