Rank,Player Name,Team,Matchup,Best Rank,Worst Rank,Avg Rank,Std Dev,Uncertainty
47,Marquez Valdes-Scantling,GB,ARI,32,66,50.1,5.1,0.8128125
138,Justin Watson,TB,CAR,91,112,101,8.6,0.812747253
63,Cole Beasley,DAL,NO,40,69,60.6,5.7,0.81225
10,Robert Woods,LAR,DET,6,17,10.9,2.1,0.735
65,Robby Anderson,NYJ,TEN,43,81,63.2,5.6,0.729302326
116,Cody Core,CIN,DEN,95,139,115.2,8.3,0.725157895
59,John Brown,BAL,ATL,42,72,57.9,5.4,0.694285714
68,Tyrell Williams,LAC,PIT,50,78,64.3,5.8,0.6728
152,Marcus Kemp,KC,OAK,121,139,130,9,0.669421488
107,DaeSean Hamilton,DEN,CIN,82,114,101.7,7.4,0.667804878
13,Stefon Diggs,MIN,NE,8,17,12.7,2.3,0.66125
120,Alex Erickson,CIN,DEN,105,165,118.2,8.3,0.656095238
