Player,Team,Opp,Time,FD Pos,FD Own,FD Sal,DK Pos,DK Own,DK Sal
Austin Ekeler,LAC,GB,Sun 04:25 EST,RB,2.00%,6500,RB,1.90%,6000
Jack Doyle,IND,PIT,Sun 01:00 EST,TE,2.00%,5000,TE,3.10%,3000
Terry McLaurin,WAS,BUF,Sun 01:00 EST,WR,2.00%,5700,WR,1.80%,6200
T.J. Hockenson,DET,OAK,Sun 04:05 EST,TE,2.00%,5000,TE,2.50%,3700
Ryan Fitzpatrick,MIA,NYJ,Sun 01:00 EST,QB,1.90%,7000,QB,2.30%,4800
Tarik Cohen,CHI,PHI,Sun 01:00 EST,RB,1.90%,5300,RB,2.10%,4200
James Washington,PIT,IND,Sun 01:00 EST,WR,1.90%,5000,WR,2.50%,3700
Ryan Griffin,NYJ,MIA,Sun 01:00 EST,TE,1.80%,5000,TE,2.50%,3400
Jimmy Graham,GB,LAC,Sun 04:25 EST,TE,1.70%,6000,TE,2.20%,4300
Ronald Jones,TB,SEA,Sun 04:05 EST,RB,1.70%,5600,RB,1.70%,4100
Dallas Goedert,PHI,CHI,Sun 01:00 EST,TE,1.60%,5000,TE,2.50%,3100
Ty Johnson,DET,OAK,Sun 04:05 EST,RB,1.60%,5500,RB,1.50%,4900
Vance McDonald,PIT,IND,Sun 01:00 EST,TE,1.50%,5300,TE,0.00%,4100
Eric Ebron,IND,PIT,Sun 01:00 EST,TE,1.50%,5200,TE,2.00%,3600
DeAndre Washington,OAK,DET,Sun 04:05 EST,RB,1.50%,5000,RB,1.90%,3000
Matt Moore,KC,MIN,Sun 01:00 EST,QB,1.40%,6500,QB,1.60%,4800
Parris Campbell,IND,PIT,Sun 01:00 EST,WR,1.40%,5000,WR,2.10%,3000
Albert Wilson,MIA,NYJ,Sun 01:00 EST,WR,1.30%,4500,WR,1.70%,3500
DeSean Jackson,PHI,CHI,Sun 01:00 EST,WR,1.30%,6100,WR,1.50%,5200
Trevor Davis,OAK,DET,Sun 04:05 EST,WR,1.30%,4900,WR,2.00%,3200
Jaron Brown,SEA,TB,Sun 04:05 EST,WR,1.20%,5400,WR,1.70%,3800
