"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Saints ","NO","GB","DST","2200","3.6","-1.8","0.3","18523845","7.1"
"Adam Trautman","NO","GB","TE","2900","4.1","-4.7","0.4","18523539","7.0"
"Kadarius Toney","NYG","DEN","WR","3000","4.8","-4.2","0.0","18523033","7.0"
"Kenneth Gainwell","PHI","ATL","RB","4000","3.2","-7.7","0.0","18522831","7.0"
"Albert Wilson","MIA","NE","WR","3000","4.4","-4.5","0.0","18523125","6.8"
"Byron Pringle","KC","CLE","WR","3300","2.8","-6.8","0.0","18523017","6.7"
"Lil'Jordan Humphrey","NO","GB","WR","3000","4.0","-4.9","0.1","18523081","6.6"
"James Washington","PIT","BUF","WR","3500","4.5","-5.5","0.0","18523007","6.6"
"David Njoku","CLE","KC","TE","3500","3.6","-6.4","0.0","18523519","6.4"
"Tyron Johnson","JAX","HOU","WR","3900","2.9","-7.8","0.0","18522975","6.3"
"Browns ","CLE","KC","DST","2400","3.0","-2.7","0.0","18523841","6.3"
"Quintez Cephus","DET","SF","WR","3200","4.3","-5.1","0.4","18523025","6.2"
"Malcolm Brown","MIA","NE","RB","4000","3.3","-7.6","0.0","18522641","6.2"
"J.J. Taylor","NE","MIA","RB","4000","2.7","-8.3","0.0","18522637","6.2"
"Dare Ogunbowale","JAX","HOU","RB","4000","1.7","-9.3","0.0","18522675","6.1"
"Braxton Berrios","NYJ","CAR","WR","3200","3.9","-5.4","0.0","18523023","6.1"
"Albert Okwuegbunam","DEN","NYG","TE","2500","3.6","-4.4","0.0","18523565","6.0"
"Tim Patrick","DEN","NYG","WR","3900","3.3","-7.4","0.0","18522971","5.9"
"Pharaoh Brown","HOU","JAX","TE","2500","3.7","-4.3","0.0","18523651","5.9"
"Greg Ward","PHI","ATL","WR","3000","3.5","-5.5","0.0","18523455","5.9"
"Cam Sims","WAS","LAC","WR","4000","3.1","-7.8","0.0","18522967","5.9"
"Matt Breida","BUF","PIT","RB","4000","1.9","-9.0","0.0","18522819","5.6"
"Marlon Mack","IND","SEA","RB","4000","3.0","-8.0","0.0","18522741","5.6"
"Jaret Patterson","WAS","LAC","RB","4000","1.8","-9.1","0.0","18522713","5.6"
"Dede Westbrook","MIN","CIN",,,"2.7","-10.0","0.0",,"5.5"
"Chris Evans","CIN","MIN","RB","4000","1.7","-9.2","0.0","18522803","5.4"
"Rashard Higgins","CLE","KC","WR","4200","2.6","-8.7","0.0","18522957","5.4"
"N'Keal Harry","NE","MIA","WR","3000","3.1","-5.8","0.0","18523107","5.4"
"Marcedes Lewis","GB","NO","TE","2500","2.4","-5.6","0.0","18523585","5.3"
