"Pos","Player","Tm","Opp","DK Sal $","Projected Own%","Cash Odds","GPP Odds","Implied Own%","DK LEV"
"WR","Terry McLaurin","WAS","SF","6100","7.5%","39%","8%","9%","1.16"
"WR","D.J. Chark","JAX","@CIN","6000","12.5%","45%","12%","13%","1.02"
"QB","Jimmy Garoppolo","SF","@WAS","6000","7.5%","34%","9%","4%","0.57"
"RB","Marlon Mack","IND","HOU","6000","7.5%","40%","7%","7%","0.98"
"WR","T.Y. Hilton","IND","HOU","5900","27.5%","51%","14%","15%","0.55"
"WR","Robert Woods","LAR","@ATL","5900","17.5%","44%","11%","11%","0.65"
"RB","Melvin Gordon","LAC","@TEN","5900","3.0%","35%","5%","5%","1.66"
"WR","Kenny Golladay","DET","MIN","5800","12.5%","45%","12%","13%","1.01"
"RB","Derrick Henry","TEN","LAC","5800","12.5%","50%","12%","12%","0.99"
"WR","Golden Tate","NYG","ARI","5800","7.5%","46%","11%","12%","1.58"
"QB","Kirk Cousins","MIN","@DET","5800","3.0%","35%","10%","5%","1.54"
"WR","Tyler Boyd","CIN","JAX","5600","12.5%","47%","11%","12%","0.94"
"RB","Tevin Coleman","SF","@WAS","5600","7.5%","40%","8%","8%","1.02"
"QB","Jacoby Brissett","IND","HOU","5600","3.0%","43%","14%","7%","2.21"
"WR","John Brown","BUF","MIA","5500","12.5%","46%","10%","11%","0.85"
"WR","Allen Robinson","CHI","NO","5500","7.5%","42%","8%","9%","1.21"
"QB","Philip Rivers","LAC","@TEN","5500","0.5%","33%","8%","4%","7.16"
"RB","Wayne Gallman","NYG","ARI","5500","0.5%","3%","0%","0%","0.04"
"WR","Brandin Cooks","LAR","@ATL","5400","12.5%","46%","11%","12%","0.96"
"RB","Devonta Freeman","ATL","LAR","5400","7.5%","47%","9%","9%","1.21"
"RB","Devin Singletary","BUF","MIA","5400","7.5%","24%","2%","2%","0.31"
"QB","Gardner Minshew","JAX","@CIN","5400","3.0%","41%","13%","6%","2.11"
"QB","Andy Dalton","CIN","JAX","5400","0.5%","35%","10%","5%","9.21"
"TE","Austin Hooper","ATL","LAR","5300","12.5%","52%","9%","12%","0.96"
"WR","Calvin Ridley","ATL","LAR","5300","12.5%","44%","10%","11%","0.89"
"RB","Matt Breida","SF","@WAS","5300","7.5%","41%","6%","6%","0.87"
"QB","Teddy Bridgewater","NO","@CHI","5300","0.5%","23%","5%","2%","4.39"
"WR","Marquez Valdes-Scantling","GB","OAK","5200","7.5%","25%","3%","3%","0.44"
"QB","Matthew Stafford","DET","MIN","5200","3.0%","36%","9%","4%","1.42"
"RB","Frank Gore","BUF","MIA","5200","3.0%","31%","3%","4%","1.17"
"RB","Latavius Murray","NO","@CHI","5100","12.5%","48%","9%","9%","0.73"
"QB","Mitch Trubisky","CHI","NO","5100","7.5%","28%","6%","3%","0.39"
